year;quarter;country;area;age;n;b
2007;1;portugal;swpor;5;51594;3465.898684
2007;1;portugal;swpor;6;84323;6188.235526
2007;1;portugal;swpor;7;20500;1563.043421
2007;1;portugal;swpor;8;7030;527.275
2007;1;portugal;swpor;9;5793;452.7184211
2007;1;portugal;swpor;10;591;52.125
2007;1;portugal;spor;1;37490;1428.504902
2007;1;portugal;spor;2;204595;10440.84924
2007;1;portugal;spor;3;168148;9416.970416
2007;1;portugal;spor;4;135617;8282.809649
2007;1;portugal;spor;5;36158;2511.353476
2007;1;portugal;spor;6;75997;5281.743949
2007;1;portugal;spor;7;18196;1362.136054
2007;1;portugal;spor;8;7383;559.1561497
2007;1;portugal;spor;9;3179;243.876161
2007;1;portugal;spor;10;3118;216.6
2007;1;portugal;cad;1;372426;16114.15564
2007;1;portugal;cad;2;1111035;56294.44418
2007;1;portugal;cad;3;264115;14449.44666
2007;1;portugal;cad;4;244830;15060.96423
2007;1;portugal;cad;5;51324;3257.771588
2007;1;portugal;cad;6;28462;1903.702552
2007;1;portugal;cad;7;4958;371.5151515
2007;1;spain;ecan;2;83;
2007;1;spain;ecan;3;930;
2007;1;spain;ecan;4;902;
2007;1;spain;ecan;5;988;
2007;1;spain;ecan;6;920;
2007;1;spain;ecan;7;691;
2007;1;spain;ecan;8;618;
2007;1;spain;ecan;9;33;
2007;1;spain;ecan;10;60;
2007;1;spain;wcan;1;49222;
2007;1;spain;wcan;2;27103;
2007;1;spain;wcan;3;75763;
2007;1;spain;wcan;4;32673;
2007;1;spain;wcan;5;25605;
2007;1;spain;wcan;6;27501;
2007;1;spain;wcan;7;8080;
2007;1;spain;wcan;8;3738;
2007;1;spain;wcan;9;1640;
2007;1;spain;ngal;1;28721;
2007;1;spain;ngal;2;82067;
2007;1;spain;ngal;3;136636;
2007;1;spain;ngal;4;25106;
2007;1;spain;ngal;5;29074;
2007;1;spain;ngal;6;29071;
2007;1;spain;ngal;7;23223;
2007;1;spain;ngal;8;3375;
2007;1;spain;sgal;1;13849;
2007;1;spain;sgal;2;153973;
2007;1;spain;sgal;3;562963;
2007;1;spain;sgal;4;66010;
2007;1;spain;sgal;5;29130;
2007;1;spain;sgal;6;42634;
2008;1;portugal;npor;1;980810.4848;34940.47267
2008;1;portugal;npor;2;519843.7682;23774.16324
2008;1;portugal;npor;3;389222.4672;22494.14869
2008;1;portugal;npor;4;1269744.668;78669.5417
2008;1;portugal;npor;5;21135.71374;1319.077493
2008;1;portugal;npor;6;56098.75752;4105.988088
2008;1;portugal;npor;7;28641.91326;2269.287524
2008;1;portugal;npor;8;37258.22767;2764.320593
2008;1;portugal;swpor;1;1404287.368;7566.709091
2008;1;portugal;swpor;2;22174.54632;954.5268149
2008;1;portugal;swpor;3;13297.87368;710.3952377
2008;1;portugal;swpor;4;34672.0467;2264.096143
2008;1;portugal;swpor;5;2396.249275;184.9096618
2008;1;portugal;swpor;6;9009.817285;631.4103944
2008;1;portugal;swpor;7;5578.409662;432.052657
2008;1;portugal;swpor;8;805.6777778;66.11666667
2008;1;portugal;swpor;9;422.0111111;33.78333333
2008;1;portugal;spor;1;80621.34244;3535.619442
2008;1;portugal;spor;2;79938.62568;3893.379145
2008;1;portugal;spor;3;96343.21365;5211.306882
2008;1;portugal;spor;4;49543.88739;2914.682532
